x, y
-103.6896889462894, -6.484844276655153
-101.89214743727972, -4.666662633620117
-99.24314174688507, -1.757574779089076
-95.93188373164556, 1.1515176993170009
-92.7152316446761, 3.4545450061696954
-89.12015223564158, 5.515151793051075
-85.61967875487713, 7.090908292239767
-81.2677410927277, 8.424244271457148
-77.57805214643831, 9.030304819135495
-73.88836320014892, 10.727269266372332
-71.23936111873911, 12.42424296135922
-66.6982043820799, 14.121212032471085
-60.5487252109208, 15.212122867842119
-55.439925686671614, 15.212122867842119
-51.18259395279223, 15.090910295918945
-48.62819779965247, 14.969693100120743
-46.546831287862965, 8.060608867625142
-42.857149559543245, 0.787882295484998
-38.69442375393392, -4.424242113648795
-33.585624229684726, -8.545451063536536
-28.003787846115628, -13.272725184977638
-21.19205995909647, -18.48485421798646
-16.9347282252171, -20.4242368732571
-14.001893923057807, -15.333331971859021
-9.555350332638312, -9.03030135122922
-4.351944880119063, -3.3333312782777647
-0.2838250027798068, 0.0606068639459707
