x, y
-104.35193766214942, -16.42423818335502
-101.98675336554977, -15.333331971859021
-98.39167395651526, -13.151510301116957
-96.49952651923554, -11.575753801928258
-95.2696314068007, -10.727268110403564
-91.95837339156118, -7.81818025587253
-88.45789991079673, -4.666662633620117
-85.61967875487713, -3.0909061344314175
-82.40302666790768, -0.787878827578723
-77.95648307748819, 1.6363633631346595
-74.73983099051873, 4.42424558155507
-70.95553611595929, 7.939393983764461
-65.4683056606602, 10.000000770645848
-60.45411928265075, 11.09090929407936
-55.81835661772149, 10.606061318324187
-51.84484988662193, 9.757577938737008
-47.965941865822764, 8.787879675289147
-46.07379442854304, 6.484847744561428
-43.99243513472321, 3.212124486198384
-40.96500212226352, -0.06060339603969567
-35.09934073591458, -6.727269420501489
-30.747403073765142, -10.848482994264256
-25.9224285522958, -14.969691944151986
-20.624409953536826, -19.090914765664806
-15.799442650037108, -21.75757285247447
-11.636709626458156, -19.575755805607436
-7.4739910388184825, -16.30302792336937
-3.1220461586993906, -13.030300041131294
-0.9460737186398518, -11.69696868578895
