x, y
-103.97351034008439, -9.151511611214875
-102.74361522764953, -8.303025919690189
-101.70293197175478, -7.090904824333492
-99.33774767515513, -5.151512921312801
-96.78334791303054, -3.212121018292109
-94.79659454748077, -1.2727244913963816
-92.62062571640604, -0.18181827990038357
-90.53926281360138, 1.5151531031490038
-87.03878933283693, 3.212124486198384
-83.63292538932735, 5.151516389219076
-80.03784237130802, 6.121212340729421
-77.01040935884832, 6.969698032254108
-73.13150855601883, 10.000000770645848
-68.59035181935963, 12.545450909407371
-64.52223194202037, 14.121212032471085
-54.77767697081157, 14.242424604394259
-48.91201558446262, 13.636364056715912
-46.35761943132287, 9.030304819135495
-43.99243513472321, 4.787880985387076
-40.58657119121364, -0.06060339603969567
-33.68023015795478, -6.727269420501489
-27.057714127475748, -13.030300041131294
-21.75969552871682, -16.90908847104771
-16.840115078977377, -20.060601469425094
-14.001893923057807, -15.81817763567668
-9.3661384760982, -10.727268110403564
-5.20340545251922, -6.848484304362181
-0.8514750083394489, -3.3333312782777647
