x, y
-99.62156906895012, 2.7272741985056896
-102.4597902248697, -0.424238799871695
-104.25733173387938, -2.606060470613759
-96.78334791303054, 5.878787196883074
-93.8505208288409, 8.787879675289147
-89.9716200260114, 12.42424296135922
-86.66035840178705, 15.454545699750952
-82.40302666790768, 18.121213034310678
-77.19962121538843, 20.666665485009716
-71.52317890354927, 20.060604937331377
-67.07663531312977, 18.363635866219504
-62.06244171715065, 17.030302198939644
-57.805109983271265, 16.424243963198812
-54.02081510871182, 16.181814195477443
-48.91201558446262, 15.818183415520465
-46.83065629064279, 9.757577938737008
-43.42479234713323, 2.969699342352037
-39.35667246979396, -1.878785039074721
-33.585624229684726, -6.848484304362181
-27.909181917845572, -10.969693254249911
-22.32734553427646, -14.727271424180673
-17.123940081757212, -18.1212095664044
-14.096507069297516, -11.333328658081914
-10.785249054058, -6.969694564347844
-7.095552889798952, -2.7272707305994253
-3.7842948745594214, 1.393942843163341
0.0945987103004029, 5.151516389219076
