Type,Value,Type,Value,Type,Value,Type,Value,Type,Value
Data Source,SimpleTransient : TMD : THESISTRANSIENTTEST_SIMP,Data Source,SimpleTransient : TMD : THESISTRANSIENTTEST_SIMP,Data Source,SimpleTransient : TMD : THESISTRANSIENTTEST_SIMP,Data Source,SimpleTransient : TMD : THESISTRANSIENTTEST_SIMP,Data Source,SimpleTransient : TMD : THESISTRANSIENTTEST_SIMP
Element,1,Element,2,Element,3,Element,4,Element,5
,,,,,,,,,
,,,,,,,,,
Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature
0.0,20.0,0.0,30.0,0.0,40.0,0.0,50.0,0.0,0.0
0.009999999776482582,21.003151514824136,0.009999999776482582,30.066158881643247,0.009999999776482582,39.966832211857664,0.009999999776482582,49.504749434125195,0.009999999776482582,9.950375217252123E-4
0.019999999552965164,21.918450251834702,0.019999999552965164,30.161396942703504,0.019999999552965164,39.934043346367424,0.019999999552965164,49.01909546423125,0.019999999552965164,0.001980246195850471
0.029999999329447746,22.756748555911646,0.029999999329447746,30.27974910586979,0.029999999329447746,39.90171898661592,0.029999999329447746,48.54319493682756,0.029999999329447746,0.0029558197173961587
0.03999999910593033,23.52734217956009,0.03999999910593033,30.416196761727612,0.03999999910593033,39.86992615520284,0.03999999910593033,48.077133925804105,0.03999999910593033,0.003921954206688446
0.04999999888241291,24.23820182654701,0.04999999888241291,30.566524054987017,0.04999999888241291,39.83871628652541,0.04999999888241291,47.62093979802461,0.04999999888241291,0.004878846914527301
0.05999999865889549,24.896169986830156,0.05999999865889549,30.727195804109282,0.05999999865889549,39.808127746918544,0.05999999865889549,47.17459142279363,0.05999999865889549,0.005826695150128777
0.06999999843537807,25.507128273904947,0.06999999843537807,30.895253803542804,0.06999999843537807,39.77818797073775,0.06999999843537807,46.73802780532971,0.06999999843537807,0.0067656953975162425
0.07999999821186066,26.076139693049804,0.07999999821186066,31.06822874609124,0.07999999821186066,39.7489152702398,0.07999999821186066,46.31115538225983,0.07999999821186066,0.0076960425912173695
0.08999999798834324,26.607569603856334,0.08999999798834324,31.24406541790351,0.08999999798834324,39.72032036842117,0.08999999798834324,45.89385418136082,0.08999999798834324,0.008617929526526619
0.09999999776482582,27.10518857523165,0.09999999776482582,31.421059171213003,0.09999999776482582,39.69240769658525,0.09999999776482582,45.4859830173604,0.09999999776482582,0.009531546383333804
0.1099999975413084,27.572259850752207,0.1099999975413084,31.597801979623156,0.1099999975413084,39.66517649213078,0.1099999975413084,45.087383869766974,0.1099999975413084,0.010437080345697526
0.11999999731779099,28.0116137340805,0.11999999731779099,31.773136635395247,0.11999999731779099,39.63862172671794,0.11999999731779099,44.69788556673652,0.11999999731779099,0.011334715302042378
0.12999999709427357,28.425710857293545,0.12999999709427357,31.946117864601778,0.12999999709427357,39.61273489043464,0.12999999709427357,44.317306880323606,0.12999999709427357,0.012224631613152646
0.13999999687075615,28.816696000206022,0.13999999687075615,32.11597931991093,0.13999999687075615,39.58750465373249,0.13999999687075615,43.94545912260649,0.13999999687075615,0.01310700593708384
0.14999999664723873,29.186443878277434,0.14999999664723873,32.282105567046436,0.14999999664723873,39.56291742562805,0.14999999664723873,43.58214831870176,0.14999999664723873,0.013982011101768645
0.1599999964237213,29.536598103821483,0.1599999964237213,32.44400831377205,0.1599999964237213,39.538957823882434,0.1599999964237213,43.22717702123447,0.1599999964237213,0.014849816017499863
0.1699999962002039,29.868604344336397,0.1699999962002039,32.60130624310599,0.1699999962002039,39.51560907050846,0.1699999962002039,42.88034582110091,0.1699999962002039,0.015710585622667115
0.17999999597668648,30.18373854804494,0.17999999597668648,32.75370790837541,0.17999999597668648,39.492853323945475,0.17999999597668648,42.54145460109447,0.17999999597668648,0.016564480857138224
0.18999999575316906,30.48313097609175,0.18999999575316906,32.90099722921936,0.18999999575316906,39.47067195753479,0.18999999575316906,42.210303571940976,0.18999999575316906,0.017411658658537523
0.19999999552965164,30.767786669825288,0.19999999552965164,33.04302119690511,0.19999999552965164,39.44904579247836,0.19999999552965164,41.886694124321785,0.19999999552965164,0.01825227197740462
0.20999999530613422,31.038602887245283,0.20999999530613422,33.17967945617634,0.20999999530613422,39.427955292230386,0.20999999530613422,41.57042952539208,0.20999999530613422,0.01908646980783813
0.2199999950826168,31.296383962519563,0.2199999950826168,33.310915480863876,0.2199999950826168,39.40738072422457,0.2199999950826168,41.26131548399329,0.2199999950826168,0.01991439723075598
0.2299999948590994,31.541853974338583,0.2299999948590994,33.436709102989845,0.2299999948590994,39.387302293949496,0.2299999948590994,40.95916060509826,0.2299999948590994,0.020736195467351295
0.23999999463558197,31.775667550972845,0.23999999463558197,33.557070191211444,0.23999999463558197,39.36770025562868,0.23999999463558197,40.66377675091775,0.23999999463558197,0.02155200194070268
0.24999999441206455,31.99841909069151,0.24999999441206455,33.67203330514078,0.24999999441206455,39.34855500311928,0.24999999441206455,40.37497932345503,0.24999999441206455,0.022361950343819804
