Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value
Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit
Element,Box:face1,Element,Box:face1,Element,Box:face1,Element,Box:face3,Element,Box:face3,Element,Box:face3,Element,Box:face5,Element,Box:face5,Element,Box:face5,Element,Box:face7,Element,Box:face7,Element,Box:face7,Element,Box:face9,Element,Box:face9,Element,Box:face9,Element,Box:face11,Element,Box:face11,Element,Box:face11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time[s],Albedo Absorbed Heat Power,Time[s],Planet Absorbed Heat Power,Time[s],Solar Absorbed Heat Power,Time[s],Albedo Absorbed Heat Power,Time[s],Planet Absorbed Heat Power,Time[s],Solar Absorbed Heat Power,Time[s],Albedo Absorbed Heat Power,Time[s],Planet Absorbed Heat Power,Time[s],Solar Absorbed Heat Power,Time[s],Albedo Absorbed Heat Power,Time[s],Planet Absorbed Heat Power,Time[s],Solar Absorbed Heat Power,Time[s],Albedo Absorbed Heat Power,Time[s],Planet Absorbed Heat Power,Time[s],Solar Absorbed Heat Power,Time[s],Albedo Absorbed Heat Power,Time[s],Planet Absorbed Heat Power,Time[s],Solar Absorbed Heat Power
907.9322678808113,0.2581985630449461,907.9322678808113,0.3148463994066997,907.9322678808113,0.0,907.9322678808113,0.3152655692609635,907.9322678808113,0.32565960659893983,907.9322678808113,0.0,907.9322678808113,0.0,907.9322678808113,0.0,907.9322678808113,3.7868798051010253,907.9322678808113,0.3156320315271721,907.9322678808113,0.32708485952569255,907.9322678808113,0.0,907.9322678808113,0.9882676185426778,907.9322678808113,1.0157676284131183,907.9322678808113,0.0,907.9322678808113,0.3506260993320614,907.9322678808113,0.31435257197184274,907.9322678808113,5.967687961918693
1021.4238013659128,0.19231798183058837,1021.4238013659128,0.3148463994066998,1021.4238013659128,0.0,1021.4238013659128,0.25055794644567286,1021.4238013659128,0.32565960659893983,1021.4238013659128,0.0,1021.4238013659128,0.0,1021.4238013659128,0.0,1021.4238013659128,3.0090514264985098,1021.4238013659128,0.2505693679415755,1021.4238013659128,0.3270848595256925,1021.4238013659128,0.0,1021.4238013659128,0.7856087850979383,1021.4238013659128,1.015767628413118,1021.4238013659128,0.0,1021.4238013659128,0.2914813980180183,1021.4238013659128,0.3143525719718426,1021.4238013659128,6.3952613536743455
1134.9153348510142,0.12344188586065072,1134.9153348510142,0.3148463994066998,1134.9153348510142,0.0,1134.9153348510142,0.1819026735807825,1134.9153348510142,0.3256596065989398,1134.9153348510142,0.0,1134.9153348510142,0.0,1134.9153348510142,0.0,1134.9153348510142,2.1837708587048335,1134.9153348510142,0.18155879370286104,1134.9153348510142,0.3270848595256925,1134.9153348510142,0.0,1134.9153348510142,0.5705792319714525,1134.9153348510142,1.015767628413118,1134.9153348510142,0.0,1134.9153348510142,0.22774000302145048,1134.9153348510142,0.31435257197184263,1134.9153348510142,6.7219716680298225
1248.4068683361158,0.05521985092851611,1248.4068683361158,0.31484639940670023,1248.4068683361158,0.0,1248.4068683361158,0.1108212382736597,1248.4068683361158,0.32565960659893967,1248.4068683361158,0.0,1248.4068683361158,0.0,1248.4068683361158,0.0,1248.4068683361158,1.3240546021685833,1248.4068683361158,0.11013981684809791,1248.4068683361158,0.3270848595256925,1248.4068683361158,0.0,1248.4068683361158,0.34784527643507235,1248.4068683361158,1.0157676284131179,1248.4068683361158,0.0,1248.4068683361158,0.16040727233040325,1248.4068683361158,0.3143525719718423,1248.4068683361158,6.9426679079145535
1361.8984018212172,0.00522359926073358,1361.8984018212172,0.3148463994067005,1361.8984018212172,0.0,1361.8984018212172,0.04320313572965757,1361.8984018212172,0.32565960659893955,1361.8984018212172,0.0,1361.8984018212172,0.0,1361.8984018212172,0.0,1361.8984018212172,0.4434618337408692,1361.8984018212172,0.04249847633604583,1361.8984018212172,0.3270848595256926,1361.8984018212172,0.0,1361.8984018212172,0.1321525939147696,1361.8984018212172,1.0157676284131179,1361.8984018212172,0.0,1361.8984018212172,0.09054517195163087,1361.8984018212172,0.314352571971842,1361.8984018212172,7.053871268398482
1475.3899353063186,0.0,1475.3899353063186,0.3148463994066997,1475.3899353063186,0.0,1475.3899353063186,0.006172344886157957,1475.3899353063186,0.32565960659893983,1475.3899353063186,0.0,1475.3899353063186,0.0,1475.3899353063186,0.0,1475.3899353063186,0.0,1475.3899353063186,0.006053140209950793,1475.3899353063186,0.32708485952569244,1475.3899353063186,0.0,1475.3899353063186,0.01515527479204926,1475.3899353063186,1.0157676284131183,1475.3899353063186,0.4441194885596611,1475.3899353063186,0.0246062979726963,1475.3899353063186,0.3143525719718427,1475.3899353063186,7.053829892264161
1588.88146879142,0.0,1588.88146879142,0.31484639940669956,1588.88146879142,0.0,1588.88146879142,5.209910326098107E-4,1588.88146879142,0.32565960659893983,1588.88146879142,0.0,1588.88146879142,0.0,1588.88146879142,0.0,1588.88146879142,0.0,1588.88146879142,5.487367480546567E-4,1588.88146879142,0.3270848595256923,1588.88146879142,0.0,1588.88146879142,0.001265966540679455,1588.88146879142,1.0157676284131183,1588.88146879142,1.324691677335313,1588.88146879142,0.0027990618322879662,1588.88146879142,0.3143525719718429,1588.88146879142,6.942546379327185
1702.3730022765214,0.0,1702.3730022765214,0.31484639940669956,1702.3730022765214,0.0,1702.3730022765214,4.520566332610462E-6,1702.3730022765214,0.32565960659893983,1702.3730022765214,0.0,1702.3730022765214,0.0,1702.3730022765214,0.0,1702.3730022765214,0.0,1702.3730022765214,3.85438497205635E-6,1702.3730022765214,0.3270848595256923,1702.3730022765214,0.0,1702.3730022765214,1.7352972637653855E-5,1702.3730022765214,1.0157676284131183,1702.3730022765214,2.184368067662437,1702.3730022765214,4.201367937256043E-5,1702.3730022765214,0.3143525719718429,1702.3730022765214,6.721777623076688
1761.3361701961744,0.0,1761.3361701961744,0.3148463994066993,1761.3361701961744,0.0,1761.3361701961744,0.0,1761.3361701961744,0.32565960659893955,1761.3361701961744,0.0,1761.3361701961744,0.0,1761.3361701961744,0.0,1761.3361701961744,0.0,1761.3361701961744,0.0,1761.3361701961744,0.3270848595256919,1761.3361701961744,0.0,1761.3361701961744,0.0,1761.3361701961744,1.0157676284131179,1761.3361701961744,2.6182410968085,1761.3361701961744,0.0,1761.3361701961744,0.3143525719718426,1761.3361701961744,6.564950253284705
1769.2175266881952,0.0,1769.2175266881952,0.3148463994066998,1769.2175266881952,0.0,1769.2175266881952,0.0,1769.2175266881952,0.3256596065989399,1769.2175266881952,0.0,1769.2175266881952,0.0,1769.2175266881952,0.0,1769.2175266881952,0.0,1769.2175266881952,0.0,1769.2175266881952,0.32708485952569244,1769.2175266881952,0.0,1769.2175266881952,0.0,1769.2175266881952,1.015767628413118,1769.2175266881952,0.0,1769.2175266881952,0.0,1769.2175266881952,0.3143525719718426,1769.2175266881952,0.0
1815.864535761623,0.0,1815.864535761623,0.3148463994066993,1815.864535761623,0.0,1815.864535761623,0.0,1815.864535761623,0.32565960659893955,1815.864535761623,0.0,1815.864535761623,0.0,1815.864535761623,0.0,1815.864535761623,0.0,1815.864535761623,0.0,1815.864535761623,0.3270848595256919,1815.864535761623,0.0,1815.864535761623,0.0,1815.864535761623,1.0157676284131179,1815.864535761623,0.0,1815.864535761623,0.0,1815.864535761623,0.3143525719718426,1815.864535761623,0.0
1929.3560692467245,0.0,1929.3560692467245,0.3148463994066997,1929.3560692467245,0.0,1929.3560692467245,0.0,1929.3560692467245,0.32565960659893983,1929.3560692467245,0.0,1929.3560692467245,0.0,1929.3560692467245,0.0,1929.3560692467245,0.0,1929.3560692467245,0.0,1929.3560692467245,0.32708485952569233,1929.3560692467245,0.0,1929.3560692467245,0.0,1929.3560692467245,1.0157676284131183,1929.3560692467245,0.0,1929.3560692467245,0.0,1929.3560692467245,0.31435257197184274,1929.3560692467245,0.0
