Type,Value,Type,Value
Data Source,no_rad_maybe : TMD : THESISINTEGRATEDTESTNORA,Data Source,no_rad_maybe : TMD : THESISINTEGRATEDTESTNORA
Element,1,Element,2
,,,
,,,
Time[s],Temperature,Time[s],Temperature
0.0,20.0,0.0,25.0
22.243959999999998,14.931854932818403,22.243959999999998,44.62184083317981
44.487919999999995,10.808099967688552,44.487919999999995,60.83114450525448
66.73187999999999,7.438527970663832,66.73187999999999,73.86834475648676
88.97583999999999,4.668594253820467,88.97583999999999,84.10319024029117
111.21979999999999,2.3739715993086317,111.21979999999999,91.96881191363083
133.46375999999998,0.45457153072846035,133.46375999999998,97.86017213435724
155.70771999999997,-1.1692370142020587,155.70771999999997,102.14817684473587
177.95167999999995,-2.5590969561458516,177.95167999999995,105.19942201339484
200.19563999999994,-3.7625792492658663,200.19563999999994,107.31347777232564
222.43959999999993,-4.816307527430236,222.43959999999993,108.72666659631301
244.68355999999991,-5.749720223092029,244.68355999999991,109.57905386999373
266.9275199999999,-6.586519589819387,266.9275199999999,109.97728392272988
289.1714799999999,-7.344748015306531,289.1714799999999,110.0428623155898
311.41543999999993,-8.038352180859865,311.41543999999993,109.86534630505435
333.65939999999995,-8.678210901606263,333.65939999999995,109.51027639838281
355.90335999999996,-9.274060316166597,355.90335999999996,108.98534641890556
378.14732,-9.834533245184174,378.14732,108.29561000771615
400.39128,-10.366170111495569,400.39128,107.48415717168913
422.63524,-10.874085168686625,422.63524,106.58213439540478
444.8792,-11.36232644004441,444.8792,105.61202289349792
467.12316000000004,-11.835226621104363,467.12316000000004,104.55213814205182
489.36712000000006,-12.297116119544201,489.36712000000006,103.38580554865071
511.6110800000001,-12.751150481064796,511.6110800000001,102.13787218688155
533.85504,-13.199738583253918,533.85504,100.82626447593965
556.099,-13.644739898710341,556.099,99.46389984149884
578.3429600000001,-14.088605141560759,578.3429600000001,98.02487232977768
600.5869200000001,-14.534055166984823,600.5869200000001,96.48909601543737
622.8308800000001,-14.982956055749321,622.8308800000001,94.87591566161812
645.0748400000001,-15.436658359981266,645.0748400000001,93.19930172314778
667.3188000000001,-15.89614311437844,667.3188000000001,91.46930873825788
689.5627600000001,-16.36301882635767,689.5627600000001,89.6611804794856
711.8067200000002,-16.83923390664284,711.8067200000002,87.75528203354828
734.0506800000002,-17.32606378451874,734.0506800000002,85.76767766986127
756.2946400000002,-17.82439049942868,756.2946400000002,83.70994953537371
778.5386000000002,-18.334820985467463,778.5386000000002,81.59037596750278
800.7825600000002,-18.85854383367063,800.7825600000002,79.38660519031738
