Type,Value,Type,Value
Data Source,no_rad_maybe : TMD : THESISINTEGRATEDTESTNORA,Data Source,no_rad_maybe : TMD : THESISINTEGRATEDTESTNORA
Element,1,Element,2
,,,
,,,
Time[s],Temperature,Time[s],Temperature
0.0,20.0,0.0,25.0
22.243959999999998,15.55920146680282,22.243959999999998,44.628229784306356
44.487919999999995,12.078524049727289,44.487919999999995,60.85549290581136
66.73187999999999,9.347688570731773,66.73187999999999,73.91953160727587
88.97583999999999,7.198936503211945,88.97583999999999,84.18718979775298
111.21979999999999,5.499441112235973,111.21979999999999,92.08901682304771
133.46375999999998,4.14076573109798,133.46375999999998,98.01794650086084
155.70771999999997,3.037671035982021,155.70771999999997,102.34342741378973
177.95167999999995,2.1280604431057584,177.95167999999995,105.43111662626511
200.19563999999994,1.3649645982514504,200.19563999999994,107.58004858316495
222.43959999999993,0.7130619680960223,222.43959999999993,109.02627361840855
244.68355999999991,0.1416133911206345,244.68355999999991,109.90972852929828
266.9275199999999,-0.37373320813673067,266.9275199999999,110.33699685715601
289.1714799999999,-0.8481414460723066,289.1714799999999,110.42957724746736
311.41543999999993,-1.2927175018450756,311.41543999999993,110.27706432162455
333.65939999999995,-1.71559854002159,333.65939999999995,109.94506003936802
355.90335999999996,-2.1268077320684906,355.90335999999996,109.44132228730881
378.14732,-2.5350545065795753,378.14732,108.77095921522519
400.39128,-2.943896318310437,400.39128,107.97711829978695
422.63524,-3.355701263338637,422.63524,107.09101458002921
444.8792,-3.772004901796952,444.8792,106.13520501742197
467.12316000000004,-4.197544697488676,467.12316000000004,105.08807820779194
489.36712000000006,-4.636930855395404,489.36712000000006,103.93302216135875
511.6110800000001,-5.090796948713527,511.6110800000001,102.69494310177711
533.85504,-5.5592738774135375,533.85504,101.39182963236136
556.099,-6.042172614945296,556.099,100.03666362272655
578.3429600000001,-6.542558580261535,578.3429600000001,98.60359948237844
600.5869200000001,-7.063662126391515,600.5869200000001,97.07260087358588
622.8308800000001,-7.605312415502636,622.8308800000001,95.46305558148381
645.0748400000001,-8.167038469953944,645.0748400000001,93.7889763124106
667.3188000000001,-8.74820000975295,667.3188000000001,92.06045992803695
689.5627600000001,-9.35113766016093,689.5627600000001,90.25278785535498
711.8067200000002,-9.978440097931179,711.8067200000002,88.34635210201725
734.0506800000002,-10.629768220551545,734.0506800000002,86.35723656279971
756.2946400000002,-11.30457184418036,756.2946400000002,84.29704131270171
778.5386000000002,-12.00219429283473,778.5386000000002,82.17406214270976
800.7825600000002,-12.724568945611917,800.7825600000002,79.96595976018102
