Type,Value,Type,Value,Type,Value
Data Source,BetaZero_Xm,Data Source,BetaZero_Xm,Data Source,BetaZero_Xm
Element,Plate:face1,Element,Plate:face1,Element,Plate:face1
,,,,,
,,,,,
Time[s],Albedo Absorbed Heat Flux,Time[s],Planet Absorbed Heat Flux,Time[s],Solar Direct Heat Flux
0.0,379.55482204156493,0.0,208.95718221743354,0.0,0.0
111.21976990103033,376.58968666585054,111.21976990103033,208.9571822174335,111.21976990103033,0.0
222.43953980206066,367.68497029018937,222.43953980206066,208.95718221743346,222.43953980206066,0.0
333.659309703091,352.981143542425,333.659309703091,208.95718221743354,333.659309703091,0.0
444.87907960412133,332.7101551592391,444.87907960412133,208.95718221743354,444.87907960412133,0.0
556.0988495051516,307.19177020707474,556.0988495051516,208.9571822174335,556.0988495051516,0.0
667.318619406182,276.8285222015495,667.318619406182,208.9571822174335,667.318619406182,0.0
778.5383893072124,242.0993590474061,778.5383893072124,208.9571822174335,778.5383893072124,0.0
889.7581592082427,203.55208337506812,889.7581592082427,208.95718221743354,889.7581592082427,0.0
1000.9779291092732,161.79470689452498,1000.9779291092732,208.95718221743354,1000.9779291092732,0.0
1112.1976990103035,117.48591315529578,1112.1976990103035,208.95718221743354,1112.1976990103035,0.0
1223.4174689113338,71.44781385787104,1223.4174689113338,208.95718221743354,1223.4174689113338,0.0
1334.637238812364,26.119915650428663,1334.637238812364,208.95718221743354,1334.637238812364,0.0
1445.8570087133946,2.229757050200499,1445.8570087133946,208.95718221743354,1445.8570087133946,88.82124405448458
1557.076778614425,0.13566440170933303,1557.076778614425,208.9571822174335,1557.076778614425,264.9321950744334
1668.2965485154552,5.934863103564016E-5,1668.2965485154552,208.95718221743354,1668.2965485154552,436.8640956389419
1694.975384786408,0.0,1694.975384786408,208.95718221743354,1694.975384786408,477.18178191549214
1702.6989799184241,0.0,1702.6989799184241,208.95718221743354,1702.6989799184241,0.0
1779.5163184164858,0.0,1779.5163184164858,208.9571822174335,1779.5163184164858,0.0
1890.7360883175163,0.0,1890.7360883175163,208.95718221743354,1890.7360883175163,0.0
2001.9558582185464,0.0,2001.9558582185464,208.9571822174335,2001.9558582185464,0.0
2113.1756281195762,0.0,2113.1756281195762,208.9571822174335,2113.1756281195762,0.0
2224.3953980206065,0.0,2224.3953980206065,208.95718221743354,2224.3953980206065,0.0
2335.6151679216364,0.0,2335.6151679216364,208.95718221743346,2335.6151679216364,0.0
2446.8349378226667,0.0,2446.8349378226667,208.95718221743354,2446.8349378226667,0.0
2558.054707723697,0.0,2558.054707723697,208.95718221743354,2558.054707723697,0.0
2669.2744776247273,0.0,2669.2744776247273,208.95718221743354,2669.2744776247273,0.0
2780.494247525757,0.0,2780.494247525757,208.95718221743354,2780.494247525757,0.0
2891.714017426787,0.0,2891.714017426787,208.9571822174335,2891.714017426787,0.0
3002.9337873278173,0.0,3002.9337873278173,208.9571822174335,3002.9337873278173,0.0
3114.153557228847,0.0,3114.153557228847,208.95718221743354,3114.153557228847,0.0
3225.3733271298775,0.0,3225.3733271298775,208.95718221743354,3225.3733271298775,0.0
3336.5930970309078,0.0,3336.5930970309078,208.9571822174335,3336.5930970309078,0.0
3447.8128669319376,0.0,3447.8128669319376,208.9571822174335,3447.8128669319376,0.0
3559.0326368329675,0.0,3559.0326368329675,208.95718221743337,3559.0326368329675,0.0
3670.2524067339987,0.0,3670.2524067339987,208.9571822174335,3670.2524067339987,0.0
3781.4721766350285,0.0,3781.4721766350285,208.9571822174335,3781.4721766350285,0.0
3858.282726817052,0.0,3858.282726817052,208.95718221743354,3858.282726817052,0.0
3866.006321949068,0.0,3866.006321949068,208.95718221743354,3866.006321949068,477.19198694731654
3892.691946536059,5.672431640760348E-5,3892.691946536059,208.95718221743354,3892.691946536059,436.86409563894307
4003.9117164370887,0.1231400001507162,4003.9117164370887,208.9571822174335,4003.9117164370887,264.9321950744341
4115.131486338119,2.0773195685806587,4115.131486338119,208.9571822174335,4115.131486338119,88.82124405448491
4226.351256239149,25.82593788640572,4226.351256239149,208.95718221743354,4226.351256239149,0.0
4337.571026140179,71.02082776610061,4337.571026140179,208.9571822174335,4337.571026140179,0.0
4448.790796041209,117.06034314608178,4448.790796041209,208.9571822174335,4448.790796041209,0.0
4560.01056594224,161.3898185041568,4560.01056594224,208.95718221743346,4560.01056594224,0.0
4671.23033584327,203.1742649759348,4671.23033584327,208.9571822174335,4671.23033584327,0.0
4782.450105744299,241.7545695004192,4782.450105744299,208.9571822174335,4782.450105744299,0.0
4893.66987564533,276.52219952049484,4893.66987564533,208.9571822174335,4893.66987564533,0.0
5004.889645546361,306.92874576793196,5004.889645546361,208.95718221743354,5004.889645546361,0.0
5116.10941544739,332.4945774760662,5116.10941544739,208.9571822174335,5116.10941544739,0.0
5227.329185348421,352.8164128138075,5227.329185348421,208.95718221743354,5227.329185348421,0.0
5338.54895524945,367.5736847503295,5338.54895524945,208.95718221743354,5338.54895524945,0.0
5449.768725150481,376.5336015879847,5449.768725150481,208.95718221743354,5449.768725150481,0.0
5560.988495051516,379.55482204156493,5560.988495051516,208.95718221743354,5560.988495051516,0.0
